adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/aJkOBOdbzUc788VDGJp3nEAlC3I.jpg,"[10749, 35, 18]",1234811,en,Our Little Secret,"After discovering their significant others are siblings, two resentful exes must spend Christmas under one roof — while hiding their romantic history.",67.169,/7isqmWUryG2xksrw0E75m3vYTFd.jpg,2024-11-27,Our Little Secret,False,6.239,429
False,/z7noaCJ4KtmhwHw7QcNtnMMo4Qy.jpg,"[28, 53, 80]",345887,en,The Equalizer 2,"Robert McCall, who serves an unflinching justice for the exploited and oppressed, embarks on a relentless, globe-trotting quest for vengeance when his former partner is murdered.",86.398,/cQvc9N6JiMVKqol3wcYrGshsIdZ.jpg,2018-07-19,The Equalizer 2,False,6.8,5382
False,/acvE3RWjDLgvbL2RtcyzkrsAyNV.jpg,"[80, 36, 18]",466420,en,Killers of the Flower Moon,"When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one—until the FBI steps in to unravel the mystery.",97.664,/dB6Krk806zeqd0YNp2ngQ9zXteH.jpg,2023-10-18,Killers of the Flower Moon,False,7.4,3346
False,/aIGIYJTyOkEVUmEd3z5x6diYsFx.jpg,"[28, 12, 878, 53]",135397,en,Jurassic World,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",86.353,/rhr4y79GpxQF9IsfJItRXVaoGs4.jpg,2015-06-06,Jurassic World,False,6.692,20381
False,/xFYpUmB01nswPgbzi8EOCT1ZYFu.jpg,"[12, 28, 18]",980489,en,Gran Turismo,The ultimate wish-fulfillment tale of a teenage Gran Turismo player whose gaming skills won him a series of Nissan competitions to become an actual professional racecar driver.,84.849,/51tqzRtKMMZEYUpSYkrUE7v9ehm.jpg,2023-08-09,Gran Turismo,False,7.791,2750
False,/m2QvGozzKz5ux74gKocn4kFTGz1.jpg,"[18, 10749]",796,en,Cruel Intentions,"Slaking a thirst for dangerous games, Kathryn challenges her stepbrother, Sebastian, to deflower their headmaster's daughter before the summer ends. If he succeeds, the prize is the chance to bed Kathryn. But if he loses, Kathryn will claim his most prized possession.",77.059,/76cCsRtQ5MJBAqoigojXsLXLJwh.jpg,1999-03-05,Cruel Intentions,False,6.802,3268
False,/ujkVmpItWDLSkDCc7flsPywJhle.jpg,[27],1128941,en,The Demon Disorder,"The pasts of three brothers and their deceased father collide when a deep, dark family secret is unearthed, leading to a case of revenge from beyond the grave.",71.566,/Oqlmo1bhDQWWBPrMxMauuHL7y7.jpg,2024-08-16,The Demon Disorder,False,5.569,29
False,/rXYejcyn762o3cjp9OYfyVR3QpY.jpg,[18],940139,en,Here,"An odyssey through time and memory, centered around a place in New England where—from wilderness, and then, later, from a home—love, loss, struggle, hope and legacy play out between couples and families over generations.",73.59,/79euHUJJtfgeGU63ef38KtNjXEn.jpg,2024-10-30,Here,False,6.5,120
False,/rXYejcyn762o3cjp9OYfyVR3QpY.jpg,[18],940139,en,Here,"An odyssey through time and memory, centered around a place in New England where—from wilderness, and then, later, from a home—love, loss, struggle, hope and legacy play out between couples and families over generations.",73.59,/79euHUJJtfgeGU63ef38KtNjXEn.jpg,2024-10-30,Here,False,6.5,120
False,/s3FDBLH4qc1IcjexB05Qvbn3wxO.jpg,"[28, 80, 53]",449443,en,Den of Thieves,A gritty crime saga which follows the lives of an elite unit of the LA County Sheriff's Dept. and the state's most successful bank robbery crew as the outlaws plan a seemingly impossible heist on the Federal Reserve Bank.,80.036,/dAP5NpkrMMczir5dUPjRR6ywqgz.jpg,2018-01-18,Den of Thieves,False,6.82,2862
False,/AeGcldwZf1MN6680cx6HU6MVwjV.jpg,[35],38365,en,Grown Ups,"After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend.",74.773,/ys0LscDFAuZxfUcpH5moiPeFfXs.jpg,2010-06-24,Grown Ups,False,6.4,6125
False,/xKJTWGvheOMMlTHgrjN18KaD9Ra.jpg,"[27, 53]",1174618,en,Alice in Terrorland,"A recently bereaved teenage girl goes to live with her aunt in a secluded woodland house, unaware that sinister forces lurk within.",81.071,/5XJGvr8g9jkmN6KUIOQOj2iE6K4.jpg,2023-12-26,Alice in Terrorland,False,6.0,169
False,/8x9iKH8kWA0zdkgNdpAew7OstYe.jpg,"[16, 10749, 18]",372058,ja,君の名は。,"High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other.",83.314,/vfJFJPepRKapMd5G2ro7klIRysq.jpg,2016-08-26,Your Name.,False,8.486,11473
False,/wdwcOBMkt3zmPQuEMxB3FUtMio2.jpg,"[12, 28, 878]",271110,en,Captain America: Civil War,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",77.719,/rAGiXaUfPzY7CDEyNKUofk3Kw2e.jpg,2016-04-27,Captain America: Civil War,False,7.444,22755
False,/1n00NlOGRFZVs8coBxyZLm5l4EC.jpg,"[28, 12, 878]",335988,en,Transformers: The Last Knight,"Humans and Transformers are at war. Optimus Prime is gone. The key to saving our future lies buried in the secrets of the past, in the hidden history of Transformers on Earth. Saving our world falls upon the shoulders of an unlikely alliance: Cade Yeager; Bumblebee; an English Lord; and an Oxford Professor.",76.371,/s5HQf2Gb3lIO2cRcFwNL9sn1o1o.jpg,2017-06-16,Transformers: The Last Knight,False,6.1,6220
False,/yRKyJJYIzfeiVDHBe4LXguPQCvD.jpg,"[14, 35]",4011,en,Beetlejuice,A newly dead New England couple seeks help from a deranged demon exorcist to scare an affluent New York family out of their home.,77.695,/nnl6OWkyPpuMm595hmAxNW3rZFn.jpg,1988-03-30,Beetlejuice,False,7.381,7636
False,/75RJZMpz7BPRQZRYalBegikPGXI.jpg,"[18, 27, 53]",100464,ja,犯す!,A rape victim realizes that she enjoys sexual assault and continuously offers herself to various men while searching for her original rapist.,88.925,/zlvBMQhTPPFzQPnrEyvfupadctm.jpg,1976-02-07,Rape!,False,5.5,8
False,/oZiMgkpqzFHCgfflObSRGTvHgFZ.jpg,"[27, 878]",1100988,en,28 Years Later,"It's been almost three decades since the rage virus escaped a biological weapons laboratory, and now, still in a ruthlessly enforced quarantine, some have found ways to exist amidst the infected. One such group of survivors lives on a small island connected to the mainland by a single, heavily-defended causeway. When one of the group leaves the island on a mission into the dark heart of the mainland, he discovers secrets, wonders, and horrors that have mutated not only the infected but other survivors as well.",77.557,/hVKHzr4GwSw0FepqhqQ0DDiYHNY.jpg,2025-06-16,28 Years Later,False,0.0,0
